,date,category,price,quantity,city
236,2023-08-11,electronics,1500,3,Minsk
237,2023-09-27,toys,24,3,Berlin
238,2023-09-20,home,63,2,Warsaw
239,2023-06-24,home,347,4,Berlin
240,2023-07-02,books,48,5,Warsaw
241,2023-04-20,electronics,1687,1,Moscow
242,2023-05-31,electronics,1750,2,Praga
243,2023-05-08,books,46,1,Warsaw
244,2023-08-26,books,8,1,Minsk
245,2023-04-25,books,31,4,Berlin
246,2023-08-08,toys,102,5,Moscow
247,2023-07-30,electronics,816,1,Minsk
248,2023-09-07,toys,62,1,Moscow
249,2023-04-26,books,13,2,Praga
250,2023-09-16,electronics,380,5,Berlin
251,2023-06-06,toys,66,5,Berlin
252,2023-04-01,toys,129,1,Praga
253,2023-05-21,books,47,5,Berlin
254,2023-04-05,electronics,1266,2,Warsaw
255,2023-04-13,books,11,2,Moscow
256,2023-08-25,electronics,1483,2,Minsk
257,2023-08-18,home,246,4,Praga
258,2023-05-18,clothes,152,1,Warsaw
259,2023-08-31,clothes,99,5,Minsk
260,2023-05-27,clothes,60,2,Minsk
261,2023-07-24,books,34,1,Praga
262,2023-05-05,home,437,1,Warsaw
263,2023-06-15,electronics,1478,4,Minsk
264,2023-07-03,toys,11,5,Minsk
265,2023-04-05,electronics,1930,5,Warsaw
266,2023-04-22,toys,52,2,Berlin
267,2023-07-12,electronics,956,2,Minsk
268,2023-09-22,home,387,1,Moscow
269,2023-09-29,toys,117,5,Warsaw
270,2023-08-09,books,9,5,Minsk
271,2023-08-02,electronics,1616,2,Praga
272,2023-05-23,electronics,411,3,Moscow
273,2023-09-06,toys,35,1,Minsk
274,2023-06-08,books,22,5,Moscow
275,2023-07-13,books,23,4,Moscow
276,2023-09-08,home,180,4,Berlin
277,2023-09-25,books,13,3,Moscow
278,2023-04-16,books,40,2,Berlin
279,2023-07-25,books,35,2,Warsaw
280,2023-06-15,clothes,68,2,Berlin
281,2023-07-18,home,450,4,Praga
282,2023-05-09,electronics,262,2,Minsk
283,2023-06-28,toys,64,4,Warsaw
284,2023-09-21,electronics,606,3,Warsaw
285,2023-07-21,home,339,1,Praga
286,2023-05-17,toys,114,5,Berlin
287,2023-09-19,home,154,3,Minsk
288,2023-08-15,books,9,4,Berlin
289,2023-08-06,toys,24,3,Moscow
290,2023-09-25,books,7,5,Berlin
291,2023-06-16,electronics,922,1,Warsaw
292,2023-04-15,electronics,1635,5,Minsk
293,2023-05-06,toys,12,4,Berlin
294,2023-06-02,toys,111,5,Minsk
295,2023-06-08,home,309,3,Minsk
296,2023-09-16,home,393,2,Moscow
297,2023-06-13,books,35,3,Moscow
298,2023-04-24,toys,54,4,Warsaw
299,2023-05-19,electronics,1012,1,Praga
300,2023-08-24,home,300,5,Minsk
301,2023-04-07,home,380,1,Praga
302,2023-04-04,electronics,364,4,Warsaw
303,2023-06-29,home,242,5,Minsk
304,2023-05-30,books,13,3,Minsk
305,2023-05-25,toys,127,3,Praga
306,2023-04-16,electronics,1288,4,Berlin
307,2023-04-29,toys,140,5,Moscow
308,2023-08-29,home,331,3,Berlin
309,2023-04-14,home,230,4,Praga
310,2023-06-18,electronics,1638,4,Moscow
311,2023-09-24,books,30,1,Berlin
312,2023-05-03,clothes,42,3,Moscow
313,2023-08-31,electronics,1253,5,Minsk
314,2023-04-21,clothes,29,3,Berlin
315,2023-08-23,clothes,91,3,Moscow
316,2023-04-23,books,48,3,Moscow
317,2023-05-27,clothes,83,4,Moscow
318,2023-08-20,clothes,169,2,Berlin
319,2023-07-02,books,19,2,Warsaw
320,2023-04-20,clothes,142,1,Berlin
321,2023-09-05,clothes,124,3,Praga
322,2023-04-19,clothes,93,2,Berlin
323,2023-09-28,electronics,859,1,Moscow
324,2023-07-12,electronics,1840,4,Minsk
325,2023-06-16,electronics,1270,3,Berlin
326,2023-08-29,books,27,5,Berlin
327,2023-05-03,home,358,4,Moscow
328,2023-04-18,clothes,200,1,Minsk
329,2023-06-12,clothes,148,4,Minsk
330,2023-09-08,books,6,5,Praga
331,2023-09-07,clothes,77,4,Berlin
332,2023-09-29,electronics,1370,1,Minsk
333,2023-04-17,home,495,5,Minsk
334,2023-04-19,toys,81,5,Warsaw
335,2023-06-09,clothes,159,4,Warsaw
336,2023-07-29,electronics,609,5,Minsk
337,2023-07-10,toys,36,4,Praga
338,2023-05-04,home,78,3,Minsk
339,2023-06-23,toys,24,5,Moscow
340,2023-08-31,electronics,885,4,Berlin
341,2023-06-13,toys,138,3,Praga
342,2023-06-27,books,47,5,Moscow
343,2023-06-24,toys,12,3,Praga
344,2023-04-11,clothes,134,5,Moscow
345,2023-06-30,clothes,165,1,Berlin
346,2023-08-22,books,38,1,Berlin
347,2023-08-05,electronics,295,4,Warsaw
348,2023-07-22,clothes,108,2,Moscow
349,2023-06-19,home,365,1,Warsaw
350,2023-04-07,clothes,173,2,Moscow
351,2023-04-16,clothes,38,3,Warsaw
352,2023-04-16,electronics,445,3,Berlin
353,2023-09-15,toys,120,2,Praga
354,2023-04-12,clothes,41,4,Warsaw
355,2023-05-05,books,33,5,Moscow
356,2023-04-21,toys,137,2,Moscow
357,2023-09-25,home,286,2,Berlin
358,2023-09-18,electronics,1002,2,Moscow
359,2023-04-17,home,156,2,Minsk
360,2023-05-02,toys,137,2,Praga
361,2023-05-11,toys,92,4,Warsaw
362,2023-08-12,toys,147,1,Praga
363,2023-04-27,home,192,5,Berlin
364,2023-08-26,toys,148,1,Warsaw
365,2023-08-31,home,160,2,Warsaw
366,2023-06-05,toys,99,1,Minsk
367,2023-08-15,books,28,4,Berlin
368,2023-07-01,toys,86,3,Moscow
369,2023-09-28,home,273,1,Minsk
370,2023-05-31,clothes,120,5,Minsk
371,2023-09-13,toys,141,4,Praga
372,2023-04-03,clothes,32,3,Praga
373,2023-07-12,books,13,4,Praga
374,2023-05-25,electronics,1664,2,Minsk
375,2023-04-01,books,38,3,Moscow
376,2023-07-10,toys,129,5,Warsaw
377,2023-05-15,clothes,56,3,Praga
378,2023-09-22,clothes,67,5,Moscow
379,2023-04-26,home,248,2,Berlin
380,2023-07-30,clothes,20,5,Praga
381,2023-08-20,home,109,4,Warsaw
382,2023-09-29,electronics,449,1,Berlin
383,2023-05-16,toys,149,4,Berlin
384,2023-07-31,home,198,4,Warsaw
385,2023-05-01,electronics,1618,3,Praga
386,2023-05-29,clothes,63,2,Minsk
387,2023-04-29,clothes,134,1,Warsaw
388,2023-07-15,electronics,1921,5,Warsaw
389,2023-04-17,clothes,127,3,Warsaw
390,2023-08-20,electronics,1267,2,Berlin
391,2023-09-11,home,127,1,Moscow
392,2023-04-24,home,275,4,Minsk
393,2023-07-18,electronics,361,2,Praga
394,2023-06-30,home,330,2,Praga
395,2023-04-25,home,302,2,Moscow
396,2023-05-02,home,181,4,Warsaw
397,2023-07-25,books,30,5,Minsk
398,2023-06-21,toys,19,3,Praga
399,2023-07-19,clothes,128,5,Praga
400,2023-08-24,books,6,1,Warsaw
401,2023-05-07,home,84,3,Moscow
402,2023-04-26,electronics,1690,1,Minsk
403,2023-08-15,home,439,4,Moscow
404,2023-06-03,toys,28,5,Moscow
405,2023-06-11,home,236,2,Minsk
406,2023-08-26,electronics,1148,3,Minsk
407,2023-09-29,toys,17,2,Praga
408,2023-07-15,home,59,1,Praga
409,2023-06-25,toys,38,2,Minsk
410,2023-09-05,clothes,34,2,Berlin
411,2023-05-23,clothes,106,4,Praga
412,2023-07-01,home,72,4,Berlin
413,2023-07-08,toys,55,5,Minsk
414,2023-04-11,electronics,1690,1,Praga
415,2023-05-01,home,77,4,Moscow
416,2023-09-24,clothes,45,4,Minsk
417,2023-07-09,clothes,29,5,Warsaw
418,2023-06-26,home,224,3,Berlin
419,2023-08-25,toys,13,5,Minsk
420,2023-08-18,clothes,74,2,Minsk
421,2023-04-15,toys,75,2,Praga
422,2023-09-06,clothes,86,4,Praga
423,2023-09-18,clothes,154,4,Praga
424,2023-07-10,books,20,5,Warsaw
425,2023-09-12,clothes,50,5,Praga
426,2023-04-29,electronics,1809,1,Minsk
427,2023-07-23,home,68,2,Praga
428,2023-07-16,home,205,5,Moscow
429,2023-09-01,toys,90,3,Praga
430,2023-07-17,clothes,175,1,Warsaw
431,2023-08-08,electronics,346,5,Moscow
432,2023-06-23,toys,96,4,Minsk
433,2023-04-15,books,24,5,Minsk
434,2023-08-10,toys,22,4,Berlin
435,2023-05-20,toys,86,4,Moscow
436,2023-09-13,clothes,62,2,Berlin
437,2023-04-23,books,15,2,Moscow
438,2023-05-29,toys,59,5,Moscow
439,2023-06-29,electronics,227,5,Warsaw
440,2023-07-24,electronics,666,3,Berlin
441,2023-06-14,home,309,1,Warsaw
442,2023-09-03,books,26,1,Moscow
443,2023-08-01,books,26,5,Minsk
444,2023-08-14,home,424,2,Moscow
445,2023-09-04,toys,110,3,Warsaw
446,2023-08-17,books,43,1,Berlin
447,2023-04-18,electronics,1001,5,Berlin
448,2023-09-30,electronics,552,2,Warsaw
449,2023-05-20,clothes,63,2,Berlin
450,2023-08-20,books,46,2,Praga
451,2023-07-27,toys,49,4,Minsk
452,2023-08-15,home,402,2,Minsk
453,2023-08-17,home,445,5,Minsk
454,2023-07-17,toys,139,3,Berlin
455,2023-06-06,clothes,175,5,Berlin
456,2023-09-28,home,123,2,Moscow
457,2023-09-14,books,26,3,Moscow
458,2023-06-17,clothes,109,1,Minsk
459,2023-09-03,books,7,1,Praga
460,2023-06-14,electronics,654,5,Moscow
461,2023-05-09,clothes,95,3,Moscow
462,2023-04-25,home,276,5,Berlin
463,2023-04-21,clothes,111,3,Praga
464,2023-08-16,clothes,29,3,Minsk
465,2023-09-18,clothes,105,5,Moscow
466,2023-04-15,clothes,121,3,Praga
467,2023-05-18,books,37,2,Praga
468,2023-06-25,electronics,1437,3,Minsk
469,2023-08-27,toys,117,3,Praga
470,2023-07-25,clothes,184,5,Praga
471,2023-05-20,home,140,1,Praga
472,2023-08-29,clothes,98,4,Moscow
473,2023-08-19,home,135,3,Minsk
474,2023-06-08,books,34,4,Praga
475,2023-04-04,home,412,3,Praga
476,2023-06-17,toys,110,5,Moscow
477,2023-04-09,electronics,1961,5,Minsk
478,2023-07-30,home,413,3,Berlin
479,2023-07-24,home,109,5,Moscow
480,2023-09-10,electronics,1705,5,Minsk
481,2023-07-10,toys,57,3,Praga
482,2023-08-27,clothes,136,1,Minsk
483,2023-08-24,home,276,3,Minsk
484,2023-07-06,electronics,1073,1,Minsk
485,2023-06-20,books,23,5,Berlin
486,2023-05-13,electronics,1167,1,Minsk
487,2023-07-04,books,43,5,Berlin
488,2023-04-06,toys,42,1,Praga
489,2023-06-06,clothes,63,1,Berlin
490,2023-08-18,electronics,708,3,Praga
491,2023-07-09,home,214,1,Praga
492,2023-04-12,toys,121,5,Berlin
493,2023-06-05,electronics,1515,3,Moscow
494,2023-04-02,home,386,1,Warsaw
495,2023-08-21,electronics,1116,3,Minsk
496,2023-08-29,books,6,4,Warsaw
497,2023-09-04,electronics,998,3,Minsk
498,2023-06-20,electronics,1075,4,Minsk
499,2023-08-13,electronics,1960,4,Praga
500,2023-09-03,toys,39,3,Minsk
501,2023-08-20,electronics,1427,5,Minsk
502,2023-09-19,home,221,5,Berlin
503,2023-09-05,books,16,5,Warsaw
504,2023-09-07,books,28,2,Berlin
505,2023-06-09,electronics,1887,4,Minsk
506,2023-07-24,toys,148,3,Praga
507,2023-06-27,toys,22,5,Berlin
508,2023-04-06,home,140,5,Berlin
509,2023-04-27,electronics,399,3,Moscow
510,2023-06-21,books,14,4,Minsk
511,2023-06-27,toys,29,3,Praga
512,2023-07-29,electronics,1040,2,Berlin
513,2023-04-24,toys,80,2,Berlin
514,2023-07-11,toys,87,3,Praga
515,2023-05-04,books,32,4,Minsk
516,2023-09-15,clothes,149,5,Moscow
517,2023-05-17,home,426,2,Berlin
518,2023-04-24,home,92,2,Moscow
519,2023-06-04,books,12,4,Warsaw
520,2023-04-18,toys,22,2,Minsk
521,2023-05-14,electronics,924,2,Warsaw
522,2023-06-15,toys,120,4,Warsaw
523,2023-05-27,books,32,3,Warsaw
524,2023-07-16,home,340,5,Minsk
525,2023-09-03,toys,32,5,Minsk
526,2023-08-02,home,351,2,Praga
527,2023-08-29,electronics,1989,5,Moscow
528,2023-09-09,home,64,3,Moscow
529,2023-08-17,home,179,2,Praga
530,2023-09-10,clothes,80,5,Praga
531,2023-07-25,clothes,134,1,Warsaw
532,2023-07-02,clothes,83,1,Praga
533,2023-05-12,home,357,1,Berlin
534,2023-04-28,books,40,1,Moscow
535,2023-08-01,home,500,1,Praga
536,2023-04-24,books,9,2,Berlin
537,2023-08-14,books,7,4,Berlin
538,2023-07-15,clothes,194,4,Berlin
539,2023-07-27,toys,92,2,Berlin
540,2023-05-23,electronics,1737,2,Warsaw
541,2023-08-10,clothes,191,3,Berlin
542,2023-07-09,clothes,97,4,Warsaw
543,2023-04-05,toys,37,1,Warsaw
544,2023-05-19,electronics,674,2,Berlin
545,2023-07-07,home,103,1,Moscow
546,2023-04-30,home,116,4,Berlin
547,2023-06-11,clothes,183,5,Berlin
548,2023-07-12,electronics,1837,5,Berlin
549,2023-06-02,clothes,139,2,Moscow
550,2023-09-22,books,29,3,Minsk
551,2023-04-26,clothes,67,1,Minsk
552,2023-05-07,clothes,186,2,Warsaw
553,2023-04-07,home,96,3,Warsaw
554,2023-08-05,home,271,1,Moscow
555,2023-09-15,home,70,4,Praga
556,2023-07-01,books,34,5,Minsk
557,2023-09-14,home,397,3,Warsaw
558,2023-07-12,electronics,1382,1,Minsk
559,2023-05-23,toys,130,2,Moscow
560,2023-08-10,electronics,1121,1,Moscow
561,2023-07-17,electronics,1458,2,Praga
562,2023-07-21,home,199,5,Praga
563,2023-08-31,toys,10,5,Moscow
564,2023-04-07,toys,86,1,Warsaw
565,2023-09-03,toys,94,1,Minsk
566,2023-06-06,books,50,2,Berlin
567,2023-07-17,home,442,2,Praga
568,2023-07-20,toys,56,3,Berlin
569,2023-08-26,books,25,3,Warsaw
570,2023-06-22,clothes,78,3,Praga
571,2023-08-02,clothes,73,1,Berlin
572,2023-08-17,books,26,3,Warsaw
573,2023-07-13,books,16,1,Minsk
574,2023-06-06,home,241,5,Warsaw
575,2023-04-07,home,55,4,Praga
576,2023-08-29,clothes,72,5,Moscow
577,2023-07-19,toys,99,1,Minsk
578,2023-05-04,clothes,24,1,Berlin
579,2023-07-15,toys,82,4,Praga
580,2023-08-25,toys,23,2,Moscow
581,2023-05-28,home,477,2,Warsaw
582,2023-04-09,electronics,1670,2,Moscow
583,2023-05-18,electronics,1073,3,Praga
584,2023-07-24,books,34,2,Praga
585,2023-05-11,home,101,3,Moscow
586,2023-05-18,toys,125,3,Warsaw
587,2023-09-20,electronics,737,2,Moscow
588,2023-04-25,toys,62,2,Praga
589,2023-07-25,electronics,740,4,Praga
590,2023-06-17,electronics,1242,4,Berlin
591,2023-07-17,electronics,1014,3,Berlin
592,2023-04-25,home,441,4,Minsk
593,2023-08-25,clothes,42,3,Praga
594,2023-05-09,toys,126,1,Berlin
595,2023-07-28,home,155,3,Moscow
596,2023-06-18,home,468,3,Warsaw
597,2023-06-19,home,358,4,Moscow
598,2023-04-27,home,276,1,Warsaw
599,2023-07-13,home,401,5,Berlin
600,2023-06-13,books,9,5,Minsk
601,2023-06-07,toys,25,5,Moscow
602,2023-08-25,home,322,1,Moscow
603,2023-04-28,toys,111,2,Moscow
604,2023-08-01,books,36,1,Warsaw
605,2023-09-08,books,24,4,Berlin
606,2023-08-16,toys,121,3,Moscow
607,2023-06-22,electronics,831,3,Moscow
608,2023-04-30,clothes,130,4,Minsk
609,2023-04-22,electronics,1433,4,Minsk
610,2023-04-03,electronics,1736,3,Berlin
611,2023-07-10,electronics,257,2,Berlin
612,2023-07-14,home,142,2,Praga
613,2023-09-23,books,33,2,Minsk
614,2023-04-02,electronics,922,4,Praga
615,2023-05-24,books,48,3,Warsaw
616,2023-04-06,toys,15,3,Praga
617,2023-07-16,clothes,127,3,Moscow
618,2023-09-15,toys,112,1,Praga
619,2023-08-01,toys,59,1,Berlin
620,2023-04-02,home,423,5,Warsaw
621,2023-07-20,clothes,129,1,Moscow
622,2023-04-02,toys,97,2,Praga
623,2023-07-02,toys,29,2,Warsaw
624,2023-09-30,clothes,33,2,Warsaw
625,2023-07-10,clothes,152,2,Moscow
626,2023-07-06,toys,49,5,Praga
627,2023-07-20,clothes,53,2,Warsaw
628,2023-04-06,toys,133,4,Warsaw
629,2023-08-05,toys,54,4,Minsk
630,2023-07-13,home,248,4,Warsaw
631,2023-08-25,electronics,791,1,Minsk
632,2023-09-02,toys,80,3,Praga
633,2023-04-01,books,31,5,Praga
634,2023-05-03,electronics,1813,4,Praga
635,2023-05-10,electronics,1301,4,Berlin
636,2023-05-02,electronics,1395,2,Praga
637,2023-04-17,home,338,4,Warsaw
638,2023-08-04,toys,42,2,Moscow
639,2023-04-08,home,349,2,Minsk
640,2023-05-27,toys,29,3,Berlin
641,2023-05-12,home,416,1,Praga
642,2023-07-07,home,469,2,Praga
643,2023-08-15,books,11,2,Moscow
644,2023-07-29,home,209,3,Moscow
645,2023-06-26,clothes,186,2,Berlin
646,2023-09-10,books,33,5,Minsk
647,2023-09-28,home,73,1,Praga
648,2023-05-24,electronics,1949,5,Berlin
649,2023-06-23,clothes,89,4,Warsaw
650,2023-04-25,clothes,131,1,Warsaw
651,2023-06-06,clothes,123,4,Berlin
652,2023-09-30,books,27,2,Praga
653,2023-09-21,home,103,3,Berlin
654,2023-08-30,home,343,5,Praga
655,2023-05-16,electronics,529,4,Moscow
656,2023-04-22,electronics,1047,2,Berlin
657,2023-08-17,clothes,51,5,Praga
658,2023-09-23,electronics,244,5,Berlin
659,2023-04-08,books,10,4,Berlin
660,2023-05-09,home,265,2,Praga
